Name,Runs,Balls,Minutes Played,Fours,Sixes,Strike Rate
Ajmal Shahzad ,1,3,2,0,0,33.33
James Anderson ,2,5,9,0,0,40.00
Tamim Iqbal ,38,26,36,5,0,146.15
Imrul Kayes ,60,100,151,5,0,60.00
Zunaed Siddique ,12,12,17,2,0,100.00
Raqibul Hasan ,0,2,6,0,0,0.00
Shakib Al Hasan (c),32,58,108,1,0,55.17
Mushfiqur Rahim †,6,20,24,1,0,30.00
Mahmudullah ,21,42,61,2,0,50.00
Naeem Islam ,0,5,6,0,0,0.00
Abdur Razzak ,1,5,5,0,0,20.00
Shafiul Islam ,24,24,43,4,1,100.00
Virender Sehwag ,73,66,87,12,0,110.60
Sachin Tendulkar ,111,101,184,8,3,109.90
Gautam Gambhir ,69,75,98,7,0,92.00
Yusuf Pathan ,0,2,4,0,0,0.00
Yuvraj Singh ,12,9,15,0,1,133.33
MS Dhoni (c)†,12,21,37,0,0,57.14
Virat Kohli ,1,3,2,0,0,33.33
Harbhajan Singh ,3,9,8,0,0,33.33
Zaheer Khan ,0,3,3,0,0,0.00
Ashish Nehra ,0,3,2,0,0,0.00
Munaf Patel ,0,1,1,0,0,0.00
Hashim Amla ,61,72,114,5,0,84.72
Graeme Smith (c),16,29,39,2,0,55.17
Jacques Kallis ,69,88,120,4,0,78.40
AB de Villiers ,52,39,67,6,1,133.33
Jean-Paul Duminy ,23,20,40,2,1,115.00
Faf du Plessis ,25,23,52,0,1,108.69
Morne van Wyk †,5,5,7,1,0,100.00
Johan Botha ,23,15,15,2,1,153.33
Robin Peterson ,18,7,15,2,1,257.14
Martin Guptill ,17,29,45,3,0,58.62
Brendon McCullum †,101,109,163,12,2,92.66
Jesse Ryder ,38,56,80,3,0,67.85
Ross Taylor (c),74,44,60,6,5,168.18
Nathan McCullum ,10,9,30,2,0,111.11
Kane Williamson ,34,27,38,4,0,125.92
Scott Styris ,35,20,21,3,2,175.00
James Franklin ,31,8,12,2,3,387.50
Ruvindu Gunasekera ,2,7,9,0,0,28.57
Hiral Patel ,31,35,61,5,1,88.57
Zubin Surkari ,1,11,10,0,0,9.09
Ashish Bagai (c)†,84,87,145,10,0,96.55
Jimmy Hansra ,70,105,140,4,1,66.66
Rizwan Cheema ,2,4,5,0,0,50.00
John Davison ,15,21,37,2,0,71.42
Balaji Rao ,9,9,13,1,0,100.00
Harvir Baidwan ,8,6,14,1,0,133.33
Khurram Chohan ,22,16,23,2,1,137.50
Henry Osinde ,0,0,1,0,0,-
Shane Watson ,21,17,32,3,1,123.52
Brad Haddin †,65,79,109,9,1,82.27
Ricky Ponting (c),36,54,83,5,0,66.66
Michael Clarke ,93,80,109,7,1,116.25
Cameron White ,2,6,6,0,0,33.33
Michael Hussey ,54,43,72,4,0,125.58
Steven Smith ,17,15,32,2,0,113.33
Mitchell Johnson ,12,7,9,2,0,171.42
Morris Ouma †,4,13,14,0,0,30.76
Alex Obanda ,14,10,20,0,2,140.00
Collins Obuya ,98,129,199,9,3,75.96
David Obuya ,12,16,27,2,0,75.00
Tanmay Mishra ,72,89,92,8,1,80.89
Thomas Odoyo ,35,38,59,4,1,92.10
Rakep Patel ,6,7,10,1,0,85.71
Jimmy Kamande (c),0,0,1,0,0,-
Eric Szwarczynski ,28,63,87,0,1,44.44
Wesley Barresi †,10,29,30,1,0,34.48
Mudassar Bukhari ,6,13,13,1,0,46.15
Tom Cooper ,29,41,48,2,0,70.73
Ryan ten Doeschate ,53,71,103,2,1,74.64
Alexei Kervezee ,18,24,29,2,0,75.00
Tom de Grooth ,4,15,16,0,0,26.66
Atse Buurman ,0,2,1,0,0,0.00
Peter Borren (c),3,9,11,0,0,33.33
Pieter Seelaar ,0,6,8,0,0,0.00
Adeel Raja ,0,5,17,0,0,0.00
Tamim Iqbal ,0,4,1,0,0,0.00
Imrul Kayes ,73,113,167,6,0,64.60
Zunaed Siddique ,35,53,91,4,0,66.03
Shahriar Nafees ,37,60,56,4,0,61.66
Shakib Al Hasan (c),1,7,5,0,0,14.28
Mushfiqur Rahim †,11,12,10,1,1,91.66
